Species;Subj_idx;Session;Block;Trial;Stim;Procedure;Duration_Set;Target_Duration;Response_Onset;Response_Offset
Rat;101;93;1;4;Auditory;PI;"15;60";15;"12.02;14.8500000000004;16.1300000000001;16.2000000000003;18.8100000000004;19.0400000000004;22.5500000000002;27.3400000000001;29.1800000000003;29.8000000000002;31.1700000000001;33.1400000000003;36.0500000000002;39.5700000000002;55.1900000000001";N/A
Rat;101;93;1;5;Auditory;PI;"15;60";15;"29.27;35.75";N/A
Rat;101;93;1;6;Auditory;PI;"15;60";15;"9.55999999999949;12.0799999999999;12.2599999999993;13.7399999999998;15.9099999999999;19.5;21.2199999999993;21.6599999999999;25.0199999999995;25.0699999999997;28.2199999999993;31.8799999999992;54.2399999999998";N/A
Rat;101;94;1;1;Auditory;PI;"15;60";15;"52.55;53.05;53.89;56.14;56.7;59.97";N/A
Rat;101;94;1;2;Auditory;PI;"15;60";15;"43.55;44.98;45.98;47.72;48.34;51.73;53.74;54.3199999999999;54.59;55.2099999999999;56.0599999999999;58.29";N/A
Rat;101;94;1;3;Auditory;PI;"15;60";15;"33.0200000000002;35.5400000000002;36.8900000000001;43.72";N/A
Rat;101;94;1;4;Auditory;PI;"15;60";15;"17.02;18.23;20.47;21.22;21.9300000000001;24.0799999999999;25.5899999999999;26.51;37.03;39.72";N/A
Rat;101;94;1;5;Auditory;PI;"15;60";15;"40.1900000000001;40.45;41.4000000000001";N/A
Rat;101;94;1;6;Auditory;PI;"15;60";15;"36.52;37.04";N/A
Rat;101;94;1;7;Auditory;PI;"15;60";15;"7.67999999999984;12.7599999999998;16.0499999999997;17.29;19.2999999999997;22.6799999999998;25.7399999999998;25.79;30.1099999999997";N/A
Rat;101;94;1;8;Auditory;PI;"15;60";15;"19.23;22.2199999999998";N/A
Rat;101;94;1;9;Auditory;PI;"15;60";15;0;N/A
Rat;101;94;1;10;Auditory;PI;"15;60";15;"29.3999999999996;29.4699999999998;30.6900000000001;40.9400000000001;41.8799999999997";N/A
Rat;101;94;1;11;Auditory;PI;"15;60";15;"58.9900000000002;59.4100000000003";N/A
Rat;101;94;1;12;Auditory;PI;"15;60";15;"13.8299999999999;16.1599999999999;16.71;19.5300000000007;20.0500000000002;20.46;22.8900000000003;27.7200000000003";N/A
Rat;101;95;1;1;Auditory;PI;"15;60";15;"56.92;59.84";N/A
Rat;101;95;1;2;Auditory;PI;"15;60";15;"6.16999999999985;7.52999999999997;11.3399999999999;11.9499999999998;12.1299999999999;12.6599999999999;12.8699999999999;13.3899999999999;14.1199999999999;16.9499999999998;17.26;17.6699999999998;18.2099999999998;18.4199999999998;21.3999999999999;22.3599999999999;23.6199999999999;24.77;27.1599999999999;44.1799999999998;56.4299999999998;57.1399999999999;57.3499999999999";N/A
Rat;101;95;1;3;Auditory;PI;"15;60";15;"11.9700000000003;12.0100000000002;13.8299999999999;13.8800000000001;15.1300000000001";N/A
Rat;101;95;1;4;Auditory;PI;"15;60";15;"22.0300000000002;23;26.25;29.48";N/A
Rat;101;95;1;5;Auditory;PI;"15;60";15;"16.1199999999999;18.75;19.75;21.1500000000001;23.0799999999999;23.4899999999998;24.0699999999997;24.6300000000001;25.0599999999999;27.9499999999998;30.6300000000001";N/A
Rat;101;95;1;6;Auditory;PI;"15;60";15;"26.5799999999999;32.04;32.0899999999997";N/A
Rat;101;95;1;7;Auditory;PI;"15;60";15;"14.4499999999998;14.9299999999994;19.5199999999995;19.9399999999996;22.3899999999994;23.1899999999996;25.8299999999999;26.9699999999993;37.3199999999997";N/A
Rat;101;95;1;8;Auditory;PI;"15;60";15;"21.0700000000006;22.4000000000005;23.2700000000004";N/A
Rat;101;95;1;9;Auditory;PI;"15;60";15;"7.36999999999989;9.05000000000018;9.57999999999993;13.7799999999997;14.5900000000001;15.4200000000001";N/A
Rat;101;96;1;1;Auditory;PI;"15;60";15;"15.55;18.18;18.25;18.64;21.88;22.54;24.37";N/A
Rat;101;96;1;2;Auditory;PI;"15;60";15;"13.33;14.48;16.28;19.16;31.3199999999999";N/A
Rat;101;96;1;3;Auditory;PI;"15;60";15;"8.73999999999978;10.0099999999998;10.5900000000001;11.1100000000001;14.29;15.0599999999999;15.3000000000002;19.3800000000001;21.29;22.1700000000001;22.6900000000001;25.6199999999999;25.9499999999998;26.77;27.6799999999998";N/A
Rat;101;96;1;4;Auditory;PI;"15;60";15;"50.71;52.3499999999999;53.9400000000001;58.73";N/A
Rat;101;96;1;5;Auditory;PI;"15;60";15;"49.9899999999998;50.6300000000001;52.5299999999997";N/A
Rat;101;96;1;6;Auditory;PI;"15;60";15;0;N/A
Rat;101;96;1;7;Auditory;PI;"15;60";15;"6.38999999999942;8.17999999999938;8.72999999999956;13.2299999999996;15.1799999999994;17.0699999999997;22.79;37.3699999999999;41.6700000000001;42.5;52.2999999999993";N/A
Rat;101;96;1;8;Auditory;PI;"15;60";15;"5.76000000000022;6.16000000000076;8.70000000000073;10.2000000000007;12.5500000000002;12.96;17.6700000000001;18.9100000000008;20.4400000000005";N/A
Rat;101;96;1;9;Auditory;PI;"15;60";15;"8.48000000000047;9.47000000000026";N/A
Rat;101;97;1;1;Auditory;PI;"15;60";15;"9.89999999999998;11.0899999999999;13.79;14.8599999999999;15.9699999999999;18.3299999999999;18.49;23.68;34.0799999999999;49.88";N/A
Rat;101;97;1;2;Auditory;PI;"15;60";15;"4.82999999999993;5.17999999999984;7.2199999999998;14.1599999999999;14.5699999999997;14.8899999999999;16.1399999999999;17.1499999999996;20.9699999999998;22.27;23.4399999999996;24.1399999999999;24.1799999999998";N/A
Rat;101;97;1;3;Auditory;PI;"15;60";15;"0.860000000000127;2.81999999999971;2.88000000000011";N/A
Rat;101;97;1;4;Auditory;PI;"15;60";15;"10.3500000000004;13.2600000000002;14.4499999999998;14.9700000000003;15.2200000000003;17.7800000000007;18.0799999999999;18.4700000000003;19;19.75;20.4000000000005;22.3699999999999;24.1400000000003;24.6599999999999;25.0500000000002";N/A
