Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response_Onset,Response_Offset
Rat,9121,1,1,9,Long,PI,15;36,12,3.07999999999993;4.67999999999984;5.38000000000011;8.07999999999993;8.40000000000009;8.61999999999989;9.48000000000002;9.86000000000013;10.46;11.9400000000001;12.5;13.1599999999999;13.4400000000001;13.8600000000001;15.2799999999997;16.3800000000001;18.8399999999997;20.2799999999997;20.6999999999998;21.2199999999998;22.2199999999998;24.02,3.38000000000011;5.31999999999971;5.86000000000013;8.38000000000011;8.59999999999991;9.01999999999998;9.75999999999976;10.4000000000001;10.6199999999999;12.4200000000001;12.8600000000001;13.4200000000001;13.7799999999997;14.4200000000001;16.2599999999998;16.6399999999999;20.1799999999998;20.6199999999999;21.1199999999999;21.4200000000001;22.8800000000001;24.4200000000001;-3568.4;-3568.4;-3568.4;-3568.4;-3568.4;-3568.4;-3568.4;-3568.4;-3568.4;-3568.4;-3568.4;-3568.4;-3568.4;-3568.4
Rat,9121,1,1,10,Long,PI,15;36,12,7.15999999999985;7.97999999999956;9.53999999999996;10.4199999999996;10.7999999999997;11.0599999999999;11.5799999999999;12.8999999999996;13.6599999999999;13.9799999999996;14.8999999999996;16.7599999999998;18.3599999999997;18.7199999999998;19.4199999999996;20.8999999999996;21.8999999999996;23.5599999999999;24.7999999999997,7.95999999999958;8.57999999999993;10.1599999999999;10.6799999999998;10.9399999999996;11.2399999999998;11.8199999999997;13.5599999999999;13.8999999999996;14.1399999999999;15.1599999999999;18.1799999999998;18.54;19.1799999999998;19.6199999999999;21.5599999999999;22.1999999999998;23.9799999999996;25.0799999999999;-3868.76;-3868.76;-3868.76;-3868.76;-3868.76;-3868.76;-3868.76;-3868.76;-3868.76;-3868.76;-3868.76;-3868.76;-3868.76;-3868.76;-3868.76;-3868.76;-3868.76;-3868.76;-3868.76;-3868.76
Rat,9121,1,1,11,Long,PI,15;36,12,1.03999999999996;1.74000000000069;2.64000000000033;4.72000000000026;5.60000000000036;5.82000000000062;6.34000000000015;7.11999999999989;7.53999999999996;8.30000000000018;8.70000000000073;10.4400000000005;12.1800000000003;13.9800000000005;14.7000000000007;18.04;19.7200000000003;20.3800000000001;21.2600000000002;23.4400000000005;27.96,1.65999999999985;1.98000000000047;3.5;5.44000000000051;5.80000000000018;6.10000000000036;6.76000000000022;7.44000000000051;7.88000000000011;8.5600000000004;8.84000000000015;12.0600000000004;12.5;14.2400000000007;15.2800000000007;19.6400000000003;20.2400000000007;20.5600000000004;21.9400000000005;24.0600000000004;28.3400000000001;-4211.82;-4211.82;-4211.82;-4211.82;-4211.82;-4211.82;-4211.82;-4211.82;-4211.82;-4211.82;-4211.82;-4211.82;-4211.82;-4211.82;-4211.82;-4211.82
Rat,9121,1,1,12,Long,PI,15;36,12,-14.8800000000001;-11.3199999999997;-9.42000000000007;-4.89999999999964;-3.76000000000022;1.90000000000055;4.02000000000044;4.34000000000015;4.98000000000047;5.84000000000015;7.96000000000004;9.34000000000015;9.88000000000011;10.6800000000003;11.4000000000005;13.2799999999997;13.8199999999997;14.1400000000003;17.5600000000004;18.3000000000002;18.6999999999998,-14.8999999999996;-14.5199999999995;-9.46000000000004;-9.07999999999993;-3.77999999999975;-3.46000000000004;3.96000000000004;4.30000000000018;4.90000000000055;5.72000000000026;5.98000000000047;9.26000000000022;9.73999999999978;10.46;10.8800000000001;11.5799999999999;13.7600000000002;14.0200000000004;14.5200000000004;18.1999999999998;18.54;18.9400000000005;-4544.62;-4544.62;-4544.62;-4544.62;-4544.62;-4544.62;-4544.62;-4544.62;-4544.62;-4544.62;-4544.62;-4544.62;-4544.62;-4544.62;-4544.62
Rat,9121,1,1,13,Long,PI,15;36,12,1.59999999999945;12.5799999999999;15.4200000000001;16.7399999999998;17.3999999999996;17.9200000000001;18.9799999999996;23.1199999999999;24.6599999999999;25.0999999999995;26.54;45.9200000000001,2.05999999999949;14.04;16.7199999999993;17.3800000000001;17.7799999999997;18.8800000000001;19.5999999999995;24.5599999999995;25;26.1399999999994;26.6199999999999;46.1399999999994;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64;-4670.64
Rat,9121,1,1,14,Long,PI,15;36,12,6.26000000000022;9.86000000000058;11.4000000000005;12.1800000000003;14.8400000000001;16.2800000000007;17.1000000000004;17.3800000000001;17.8000000000002;18.4200000000001;22.2200000000003;23.8200000000006;28.4000000000005,8.07999999999993;11.3400000000001;12.0200000000004;12.8200000000006;16.2200000000003;16.8600000000006;17.2200000000003;17.5799999999999;17.96;18.6800000000003;23.6599999999999;24.4800000000005;28.6999999999998;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78;-4845.78
Rat,9121,1,1,15,Long,PI,15;36,12,1.53999999999996;4.11999999999989;5.26000000000022;5.97999999999956;6.38000000000011;7.11999999999989;7.5;9.23999999999978;10.0999999999995;11.0199999999995;11.3400000000001;12.0599999999995;12.3199999999997;12.6999999999998;13.0999999999995;19.3999999999996;20.9799999999996;21.54;22.3599999999997,2.05999999999949;5.22000000000026;5.9399999999996;6.30000000000018;6.81999999999971;7.39999999999964;7.72000000000026;10.0599999999995;10.8000000000002;11.2399999999998;11.7600000000002;12.2600000000002;12.5599999999995;13.0799999999999;13.2799999999997;20.8599999999997;21.4200000000001;21.9399999999996;22.5799999999999;-5279.34;-5279.34;-5279.34;-5279.34;-5279.34;-5279.34;-5279.34;-5279.34;-5279.34;-5279.34;-5279.34;-5279.34;-5279.34;-5279.34;-5279.34;-5279.34;-5279.34;-5279.34;-5279.34;-5279.34
Rat,9121,1,1,16,Long,PI,15;36,12,4.44000000000051;7.53999999999996;9.0600000000004;9.52000000000044;10.0200000000004;10.4400000000005;11.0200000000004;11.5799999999999;11.9800000000005;15.3599999999997;17.1199999999999;18.5600000000004,6.03999999999996;8.96000000000004;9.46000000000004;9.85999999999967;10.2600000000002;10.9800000000005;11.54;11.8000000000002;12.1800000000003;16.8599999999997;17.3199999999997;18.6199999999999;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58;-5726.58
Rat,9121,1,1,17,Long,PI,15;36,12,5.88000000000011;8.96000000000004;9.72000000000026;11.1800000000003;12.2600000000002;12.5799999999999;19.4200000000001,7.36000000000058;9.70000000000073;11.1400000000003;12.0200000000004;12.5200000000004;13.8800000000001;21.3800000000001;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4;-6242.4
Rat,9121,1,1,18,Long,PI,15;36,12,1.05999999999949;1.61999999999989;7.9399999999996;16.2399999999998,1.57999999999993;2.84000000000015;10.8400000000001;17.6599999999999;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42;-6341.42
