Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response
Human,13,1,1,6,Visual,TR,2.12;4.24,4.24,5.713765144
Human,13,1,1,7,Visual,TR,2.12;4.24,2.12,2.44511795
Human,13,1,1,8,Visual,TR,2.12;4.24,2.12,2.203514814
Human,13,1,1,9,Visual,TR,2.12;4.24,4.24,3.35286808
Human,13,1,1,10,Visual,TR,2.12;4.24,2.12,3.386867046
Human,13,1,1,11,Visual,TR,2.12;4.24,4.24,3.378049135
Human,13,1,1,12,Visual,TR,2.12;4.24,4.24,3.601799011
Human,13,1,1,13,Visual,TR,2.12;4.24,2.12,3.17286706
Human,13,1,1,14,Visual,TR,2.12;4.24,2.12,2.309197903
Human,13,1,1,15,Visual,TR,2.12;4.24,2.12,2.082188845
Human,13,1,1,16,Visual,TR,2.12;4.24,2.12,1.591908932
Human,13,1,1,17,Visual,TR,2.12;4.24,2.12,3.239577055
Human,13,1,1,18,Visual,TR,2.12;4.24,2.12,2.163864851
Human,13,1,1,19,Visual,TR,2.12;4.24,2.12,2.777117968
Human,13,1,1,20,Visual,TR,2.12;4.24,4.24,5.258100986
Human,13,1,1,21,Visual,TR,2.12;4.24,4.24,3.026634932
Human,13,1,1,22,Visual,TR,2.12;4.24,2.12,0.261034012
Human,13,1,1,23,Visual,TR,2.12;4.24,4.24,3.84834981
Human,13,1,1,24,Visual,TR,2.12;4.24,4.24,4.176721811
Human,13,1,1,25,Visual,TR,2.12;4.24,4.24,4.597182035
Human,13,1,2,1,Visual,TR,2.12;4.24,2.12,1.796990156
Human,13,1,2,2,Visual,TR,2.12;4.24,4.24,3.101330042
Human,13,1,2,3,Visual,TR,2.12;4.24,4.24,3.314911127
Human,13,1,2,4,Visual,TR,2.12;4.24,2.12,1.57782197
Human,13,1,2,5,Visual,TR,2.12;4.24,2.12,2.582900047
Human,13,1,2,6,Visual,TR,2.12;4.24,4.24,4.505223036
Human,13,1,2,7,Visual,TR,2.12;4.24,2.12,2.228796959
Human,13,1,2,8,Visual,TR,2.12;4.24,2.12,2.702349901
Human,13,1,2,9,Visual,TR,2.12;4.24,4.24,4.381097794
Human,13,1,2,10,Visual,TR,2.12;4.24,4.24,3.985724926
Human,13,1,2,11,Visual,TR,2.12;4.24,4.24,4.320739031
Human,13,1,2,12,Visual,TR,2.12;4.24,4.24,4.527348042
Human,13,1,2,13,Visual,TR,2.12;4.24,2.12,1.483800888
Human,13,1,2,14,Visual,TR,2.12;4.24,4.24,4.571624994
Human,13,1,2,15,Visual,TR,2.12;4.24,2.12,2.026227951
Human,13,1,2,16,Visual,TR,2.12;4.24,4.24,3.484328985
Human,13,1,2,17,Visual,TR,2.12;4.24,2.12,2.656016827
Human,13,1,2,18,Visual,TR,2.12;4.24,2.12,2.492079973
Human,13,1,2,19,Visual,TR,2.12;4.24,2.12,2.620952845
Human,13,1,2,20,Visual,TR,2.12;4.24,4.24,4.386709929
Human,13,1,2,21,Visual,TR,2.12;4.24,2.12,2.731033802
Human,13,1,2,22,Visual,TR,2.12;4.24,4.24,4.573317051
Human,13,1,2,23,Visual,TR,2.12;4.24,4.24,4.067710876
Human,13,1,2,24,Visual,TR,2.12;4.24,2.12,2.492455959
Human,13,1,2,25,Visual,TR,2.12;4.24,2.12,2.990485907
Human,13,1,3,1,Visual,TR,2.12;4.24,2.12,2.375472069
Human,13,1,3,2,Visual,TR,2.12;4.24,2.12,2.523048162
Human,13,1,3,3,Visual,TR,2.12;4.24,2.12,2.417809963
Human,13,1,3,4,Visual,TR,2.12;4.24,2.12,2.420455933
Human,13,1,3,5,Visual,TR,2.12;4.24,2.12,2.814161062
Human,13,1,3,6,Visual,TR,2.12;4.24,2.12,1.95244503
Human,13,1,3,7,Visual,TR,2.12;4.24,4.24,3.572128057
Human,13,1,3,8,Visual,TR,2.12;4.24,2.12,1.662010908
Human,13,1,3,9,Visual,TR,2.12;4.24,4.24,3.731752157
Human,13,1,3,10,Visual,TR,2.12;4.24,4.24,3.19730401
Human,13,1,3,11,Visual,TR,2.12;4.24,4.24,4.464097023
Human,13,1,3,12,Visual,TR,2.12;4.24,4.24,4.788631916
Human,13,1,3,13,Visual,TR,2.12;4.24,2.12,3.34677887
Human,13,1,3,14,Visual,TR,2.12;4.24,2.12,3.405143976
Human,13,1,3,15,Visual,TR,2.12;4.24,4.24,4.599874973
Human,13,1,3,16,Visual,TR,2.12;4.24,2.12,2.553715944
Human,13,1,3,17,Visual,TR,2.12;4.24,4.24,4.346240044
Human,13,1,3,18,Visual,TR,2.12;4.24,4.24,4.606432915
Human,13,1,3,19,Visual,TR,2.12;4.24,2.12,2.772745848
Human,13,1,3,20,Visual,TR,2.12;4.24,2.12,2.418910027
Human,13,1,3,21,Visual,TR,2.12;4.24,2.12,2.589761019
Human,13,1,3,22,Visual,TR,2.12;4.24,2.12,2.655752897
Human,13,1,3,23,Visual,TR,2.12;4.24,4.24,4.714560986
Human,13,1,3,24,Visual,TR,2.12;4.24,2.12,2.843395948
Human,13,1,3,25,Visual,TR,2.12;4.24,2.12,2.588562965
Human,13,1,4,1,Visual,TR,2.12;4.24,2.12,2.558614969
Human,13,1,4,2,Visual,TR,2.12;4.24,4.24,3.99716115
Human,13,1,4,3,Visual,TR,2.12;4.24,2.12,2.438924074
Human,13,1,4,4,Visual,TR,2.12;4.24,2.12,2.597097158
Human,13,1,4,5,Visual,TR,2.12;4.24,2.12,2.595195055
Human,13,1,4,6,Visual,TR,2.12;4.24,4.24,3.953958988
Human,13,1,4,7,Visual,TR,2.12;4.24,4.24,4.670216799
Human,13,1,4,8,Visual,TR,2.12;4.24,4.24,4.566487074
Human,13,1,4,9,Visual,TR,2.12;4.24,4.24,4.737929106
Human,13,1,4,10,Visual,TR,2.12;4.24,4.24,4.606895924
