Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response_Onset,Response_Offset
Rat,15051,1,1,11,Audiovisual,PI,8;16;32,8,5.7460000000001;6.5010000000002;6.78899999999976;7.32600000000002;7.68900000000031;8.07200000000012;8.43499999999949;9.02999999999975;9.4399999999996;9.85599999999977;10.335;10.5959999999995;11.0109999999995;11.6350000000002;11.8519999999999;12.2470000000003;12.7389999999996;13.0280000000002;13.4309999999996;13.6729999999998;14.2119999999995;14.5609999999997;14.9349999999995;15.3729999999996;15.6319999999996;15.8980000000001;16.1890000000003;16.5039999999999;16.7799999999997;17.4439999999995;17.951;18.3949999999995;64.0010000000002,N/A
Rat,15051,1,1,12,Audiovisual,PI,8;16;32,8,8.39699999999994;8.90099999999984;9.20399999999972;9.63900000000012;10.0529999999999;10.4220000000005;11.098;11.6599999999999;12.1599999999999;12.5039999999999;13.3180000000002;13.7060000000001;13.9560000000001;14.3050000000003;14.8010000000004;15.0500000000002;15.433;15.982;16.491;16.933;17.1590000000006;34.5610000000006;56.0010000000002,N/A
Rat,15051,1,1,13,Audiovisual,PI,8;16;32,8,6.42199999999957;7.21599999999944;7.58799999999974;8.03799999999956;8.44700000000012;8.68199999999979;9.07999999999993;9.43399999999929;9.78499999999985;10.2399999999998;10.5469999999996;11.018;11.4219999999996;11.5919999999996;11.9669999999996;12.2860000000001;12.6549999999997;12.924;13.3399999999992;13.5540000000001;14.0129999999999;14.2479999999996;14.9690000000001;15.2139999999999;16.6399999999994;52.0009999999993;23.26;23.84;24.64;26.3;27.4;35.9;49,N/A
Rat,15051,1,1,14,Audiovisual,PI,8;16;32,8,8.42600000000039;8.79799999999977;9.51400000000012;10.0920000000006;10.5219999999999;10.9300000000003;11.3550000000005;11.7060000000001;12.1810000000005;12.4899999999998;12.9880000000003;13.3670000000002;13.6450000000004;14.1900000000005;14.9850000000006;15.5709999999999;61.0010000000002;17.2199999999999;17.4599999999999;17.74;18.0599999999999;18.5999999999999;18.9799999999999;19.5799999999999;19.66;19.8399999999999;20.18;20.7199999999999;21.78;23.92;24.4399999999999;24.6999999999999;25.4799999999999;26.8;34.4;34.9799999999999;48,N/A
Rat,15051,1,1,15,Audiovisual,PI,8;16;32,8,1.8769999999995;2.87299999999959;3.43599999999969;3.84799999999996;4.52300000000014;5.14999999999964;5.64599999999973;6.3149999999996;6.57899999999972;6.94599999999991;7.29899999999998;7.76099999999951;7.96900000000005;8.54799999999977;9.33899999999994;9.78700000000026;10.0689999999995;10.7849999999999;11.1660000000002;11.5550000000003;12.6310000000003;12.8999999999996;13.1480000000001;13.4549999999999;13.7349999999997;14.0879999999997;14.4340000000002;14.9970000000003;54.0010000000002;24.78;25.0800000000002;25.4200000000001;25.9200000000001;26.4400000000001;26.9000000000001;28.04;28.5599999999999;29.1800000000001;29.28;29.54;30.5;30.6600000000001;31.46;31.8199999999999;32.1600000000001;34.1800000000001;63,N/A
Rat,15051,1,1,1,Audiovisual,PI,8;16;32,16,7.14100000000002;8.19600000000003;10.348;12.154;13.132;13.735;14.464;15.728;16.278;16.687;18.425;25.325;35.02;36.285;50.855;63.001;23.336;23.864;25.4940000000001;25.7660000000001;26.3140000000001;27.9540000000002;29.1510000000001;29.6420000000001;31.0930000000001;31.672;33.086;34.1370000000002;34.9870000000001;37.0740000000001;40.4260000000002;49.001;20.1400000000001;20.6800000000001;21.5800000000002;22.2800000000002;23.9200000000001;24.3200000000002;25.46;49,N/A
Rat,15051,1,1,2,Audiovisual,PI,8;16;32,16,3.59500000000003;4.61099999999999;5.47299999999996;6.46600000000001;7.279;7.58000000000004;7.73299999999995;8.02300000000003;8.31600000000003;8.70500000000004;8.88099999999997;9.351;9.93600000000004;10.2140000000001;10.605;11.024;11.292;11.664;12.479;12.809;13.5839999999999;14.848;15.787;16.056;16.449;16.89;17.508;18.468;20.561;25.886;27.227;27.559;28.298;29.544;32.5839999999999;33.274;33.65;34.062;55.351;56.554;62.001;27.3000000000002;29.5999999999999;61,N/A
Rat,15051,1,1,3,Audiovisual,PI,8;16;32,16,5.54200000000003;7.15100000000007;7.69600000000003;8.83199999999999;9.24900000000002;10.167;11.245;11.9870000000001;12.547;13.2860000000001;14.2330000000001;14.5490000000001;14.899;15.307;16.5390000000001;16.9960000000001;17.5540000000001;17.902;18.45;18.8230000000001;19.1170000000001;19.726;20.4630000000001;21.2430000000001;21.4350000000001;22.3050000000001;22.8040000000001;24.561;25.032;28.364;28.8630000000001;56.0010000000001,N/A
Rat,15051,1,1,4,Audiovisual,PI,8;16;32,16,13.635;15.078;15.598;16.0699999999999;17.293;17.689;18.5939999999999;18.837;19.164;19.7819999999999;20.461;21.557;21.912;22.203;23.281;23.841;24.141;25.292;25.6039999999999;25.997;26.629;27.605;27.938;28.578;30.259;31.578;31.957;35.399;37.0749999999999;49.001;25;53,N/A
Rat,15051,1,1,5,Audiovisual,PI,8;16;32,16,10.9469999999999;11.5079999999998;12.2829999999999;13.1029999999998;13.809;14.586;14.9469999999999;15.3619999999999;15.9689999999998;16.242;16.9649999999999;17.752;17.9929999999999;18.345;18.615;19.001;20.1019999999999;20.7739999999999;21.0159999999999;21.3239999999998;22.202;22.8319999999999;23.038;23.5639999999999;24.106;24.355;25.8619999999999;26.211;26.6399999999999;26.9379999999999;27.279;27.6779999999999;28.4019999999998;28.7859999999998;29.3529999999998;31.019;34.134;34.492;34.8349999999998;35.962;50.124;59.8719999999998;60.001,N/A
