Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,Release,Task
Human,3,3,1,4,Auditory,TR,9,9,8.097161354,NaN,Point
Human,3,3,1,5,Auditory,TR,5,5,3.048800635,NaN,Point
Human,3,3,1,6,Auditory,TR,7,7,6.214379072,NaN,Point
Human,3,3,1,7,Auditory,TR,7,7,5.86492196,NaN,Point
Human,3,3,1,8,Auditory,TR,5,5,3.831983796,NaN,Point
Human,3,3,1,9,Auditory,TR,9,9,7.8136195,NaN,Point
Human,3,3,1,10,Auditory,TR,5,5,3.74856921,NaN,Point
Human,3,3,1,11,Auditory,TR,1,1,0.749367288,NaN,Point
Human,3,3,1,12,Auditory,TR,3,3,1.84990216,NaN,Point
Human,3,3,1,13,Auditory,TR,3,3,1.998895785,NaN,Point
Human,3,3,1,14,Auditory,TR,1,1,0.53319953,NaN,Point
Human,3,3,1,15,Auditory,TR,9,9,7.697129431,NaN,Point
Human,3,3,1,16,Auditory,TR,9,9,8.396585499,NaN,Point
Human,3,3,1,17,Auditory,TR,7,7,5.431162643,NaN,Point
Human,3,3,1,18,Auditory,TR,7,7,5.764380718,NaN,Point
Human,3,3,1,19,Auditory,TR,3,3,1.965898872,NaN,Point
Human,3,3,1,20,Auditory,TR,5,5,4.115137406,NaN,Point
Human,3,3,1,21,Auditory,TR,3,3,2.832093864,NaN,Point
Human,3,3,1,22,Auditory,TR,7,7,5.714729271,NaN,Point
Human,3,3,1,23,Auditory,TR,9,9,7.997411466,NaN,Point
Human,3,3,1,24,Auditory,TR,3,3,2.332540682,NaN,Point
Human,3,3,1,25,Auditory,TR,1,1,0.716489644,NaN,Point
Human,3,3,1,26,Auditory,TR,5,5,4.365455841,NaN,Point
Human,3,3,1,27,Auditory,TR,3,3,2.51583752,NaN,Point
Human,3,3,1,28,Auditory,TR,1,1,0.849649465,NaN,Point
Human,3,3,1,29,Auditory,TR,1,1,0.899660135,NaN,Point
Human,3,3,1,30,Auditory,TR,5,5,3.515679674,NaN,Point
Human,3,3,2,1,Auditory,TR,7,7,5.031479326,6.030999063,Range
Human,3,3,2,2,Auditory,TR,5,5,4.114994424,4.881412985,Range
Human,3,3,2,3,Auditory,TR,3,3,2.382492956,2.898948412,Range
Human,3,3,2,4,Auditory,TR,1,1,0.616523868,1.03250391,Range
Human,3,3,2,5,Auditory,TR,1,1,0.399888588,0.666445352,Range
Human,3,3,2,6,Auditory,TR,9,9,7.230512996,7.896863145,Range
Human,3,3,2,7,Auditory,TR,1,1,0.333293813,0.699660631,Range
Human,3,3,2,8,Auditory,TR,9,9,7.430335543,7.859012287,Range
Human,3,3,2,9,Auditory,TR,1,1,0.299840703,0.899466898,Range
Human,3,3,2,10,Auditory,TR,3,3,1.515820179,2.049005198,Range
Human,3,3,2,11,Auditory,TR,7,7,5.880343453,6.580614588,Range
Human,3,3,2,12,Auditory,TR,9,9,7.080432144,8.180170707,Range
Human,3,3,2,13,Auditory,TR,1,1,0.715896129,1.033064157,Range
Human,3,3,2,14,Auditory,TR,5,5,3.665362726,4.380929006,Range
Human,3,3,2,15,Auditory,TR,9,9,6.480801702,7.163829035,Range
Human,3,3,2,16,Auditory,TR,5,5,6.631338043,7.064565426,Range
Human,3,3,2,17,Auditory,TR,7,7,4.515010067,5.363896137,Range
Human,3,3,2,18,Auditory,TR,1,1,0.683108379,1.082945295,Range
Human,3,3,2,19,Auditory,TR,7,7,5.115065561,5.981801689,Range
Human,3,3,2,20,Auditory,TR,3,3,1.849234676,2.582431233,Range
Human,3,3,2,21,Auditory,TR,7,7,6.347679043,6.814059416,Range
Human,3,3,2,22,Auditory,TR,3,3,2.182343038,3.265349914,Range
Human,3,3,2,23,Auditory,TR,5,5,3.065485959,4.165083664,Range
Human,3,3,2,24,Auditory,TR,5,5,3.448457054,4.564710354,Range
Human,3,3,2,25,Auditory,TR,9,9,7.963699998,8.896692204,Range
Human,3,3,2,26,Auditory,TR,9,9,6.347353441,7.346775498,Range
