Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Test_Duration,Response,Reference_Intervals
Human,5,1,5,404,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,5,1,5,405,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,5,406,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,5,1,5,407,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,5,408,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,5,1,5,409,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,5,410,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,5,1,5,411,Visual,TB,1;1.5;2;2.5;3;3.5,2,L,1;3.5
Human,5,1,5,412,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,5,1,5,413,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,5,414,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,5,1,5,415,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,5,416,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,5,1,5,417,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,5,1,5,418,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,5,1,5,419,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,5,1,5,420,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,5,421,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,5,1,6,422,Visual,TB,1;1.5;2;2.5;3;3.5,3,S,1;3.5
Human,5,1,6,423,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,6,424,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,5,1,6,425,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,5,1,6,426,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,5,1,6,427,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,5,1,6,428,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,6,429,Visual,TB,1;1.5;2;2.5;3;3.5,3,S,1;3.5
Human,5,1,6,430,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,5,1,6,431,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,6,432,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,6,433,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,5,1,6,434,Visual,TB,1;1.5;2;2.5;3;3.5,3,S,1;3.5
Human,5,1,6,435,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,5,1,6,436,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,5,1,6,437,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,5,1,6,438,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,S,1;3.5
Human,5,1,6,439,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,5,1,6,440,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,6,441,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,5,1,6,442,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,6,443,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,5,1,6,444,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,6,445,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,5,1,6,446,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,5,1,6,447,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,5,1,6,448,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,5,1,6,449,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,6,450,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,5,1,6,451,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,S,1;3.5
Human,5,1,6,452,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,6,453,Visual,TB,1;1.5;2;2.5;3;3.5,3,S,1;3.5
Human,5,1,6,454,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,5,1,6,455,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,5,1,6,456,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,6,457,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,5,1,6,458,Visual,TB,1;1.5;2;2.5;3;3.5,3,S,1;3.5
Human,5,1,6,459,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,5,1,6,460,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,S,1;3.5
Human,5,1,6,461,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,S,1;3.5
Human,5,1,6,462,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,6,463,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,6,464,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,6,465,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,6,466,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,6,467,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,5,1,6,468,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,6,469,Visual,TB,1;1.5;2;2.5;3;3.5,3,S,1;3.5
Human,5,1,6,470,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,S,1;3.5
Human,5,1,6,471,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,S,1;3.5
Human,5,1,6,472,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,5,1,6,473,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,5,1,6,474,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,6,475,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,5,1,6,476,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,6,477,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,5,1,6,478,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,6,479,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,5,1,6,480,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,6,481,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,5,1,6,482,Visual,TB,1;1.5;2;2.5;3;3.5,3,S,1;3.5
Human,5,1,6,483,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,6,484,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,6,485,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,6,486,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,6,487,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,6,488,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,6,489,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,5,1,6,490,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,5,1,6,491,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,6,492,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,5,1,6,493,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,6,494,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,5,1,6,495,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,5,1,6,496,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,6,497,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,L,1;3.5
Human,5,1,6,498,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,5,1,6,499,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,5,1,6,500,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,S,1;3.5
Human,5,1,6,501,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,5,1,6,502,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,6,503,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,S,1;3.5
Human,5,1,6,504,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,S,1;3.5
Human,5,1,6,505,Visual,TB,1;1.5;2;2.5;3;3.5,3,S,1;3.5
Human,5,1,7,506,Visual,TB,1;1.5;2;2.5;3;3.5,3,S,1;3.5
Human,5,1,7,507,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,5,1,7,508,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,7,509,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,5,1,7,510,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,5,1,7,511,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,7,512,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,S,1;3.5
Human,5,1,7,513,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,5,1,7,514,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,7,515,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,7,516,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,5,1,7,517,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,7,518,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,5,1,7,519,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,S,1;3.5
Human,5,1,7,520,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,5,1,7,521,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,5,1,7,522,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,7,523,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,S,1;3.5
Human,5,1,7,524,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,5,1,7,525,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,5,1,7,526,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,5,1,7,527,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,7,528,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,5,1,7,529,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,5,1,7,530,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,5,1,7,531,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,5,1,7,532,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,5,1,7,533,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,5,1,7,534,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,5,1,7,535,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,5,1,7,536,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,5,1,7,537,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,5,1,7,538,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,5,1,7,539,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,5,1,7,540,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,1,1,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,6,1,1,2,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,6,1,1,3,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,6,1,1,4,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,1,5,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,S,1;3.5
Human,6,1,1,6,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,1,7,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,6,1,1,8,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,1,9,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,1,10,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,6,1,1,11,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,S,1;3.5
Human,6,1,1,12,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,1,13,Visual,TB,1;1.5;2;2.5;3;3.5,3,S,1;3.5
Human,6,1,1,14,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,S,1;3.5
Human,6,1,1,15,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,1,16,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,6,1,1,17,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,1,18,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,1,19,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,6,1,1,20,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,S,1;3.5
Human,6,1,1,21,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,6,1,1,22,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,1,23,Visual,TB,1;1.5;2;2.5;3;3.5,3,S,1;3.5
Human,6,1,1,24,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,1,25,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,1,26,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,1,27,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,6,1,1,28,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,1,29,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,6,1,1,30,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,1,31,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,6,1,1,32,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,1,33,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,6,1,1,34,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,1,35,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,6,1,1,36,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,S,1;3.5
Human,6,1,1,37,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,1,38,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,6,1,1,39,Visual,TB,1;1.5;2;2.5;3;3.5,2,L,1;3.5
Human,6,1,1,40,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,1,41,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,1,42,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,1,43,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,6,1,1,44,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,6,1,1,45,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,6,1,1,46,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,1,47,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,1,48,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,6,1,1,49,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,1,50,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,6,1,1,51,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,1,52,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,6,1,1,53,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,6,1,1,54,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,1,55,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,1,56,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,6,1,1,57,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,6,1,1,58,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,1,59,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,6,1,1,60,Visual,TB,1;1.5;2;2.5;3;3.5,2,L,1;3.5
Human,6,1,1,61,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,S,1;3.5
Human,6,1,1,62,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,2,63,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,2,64,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,2,65,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,2,66,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,2,67,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,6,1,2,68,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,6,1,2,69,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,2,70,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,6,1,2,71,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,2,72,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,2,73,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,6,1,2,74,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,S,1;3.5
Human,6,1,2,75,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,2,76,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,2,77,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,6,1,2,78,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,2,79,Visual,TB,1;1.5;2;2.5;3;3.5,3,S,1;3.5
Human,6,1,2,80,Visual,TB,1;1.5;2;2.5;3;3.5,3,S,1;3.5
Human,6,1,2,81,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,2,82,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,2,83,Visual,TB,1;1.5;2;2.5;3;3.5,3,S,1;3.5
Human,6,1,2,84,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,6,1,2,85,Visual,TB,1;1.5;2;2.5;3;3.5,2,L,1;3.5
Human,6,1,2,86,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,6,1,2,87,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,2,88,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,2,89,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,2,90,Visual,TB,1;1.5;2;2.5;3;3.5,2,L,1;3.5
Human,6,1,2,91,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,2,92,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,2,93,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,2,94,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,2,95,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,2,96,Visual,TB,1;1.5;2;2.5;3;3.5,2,L,1;3.5
Human,6,1,2,97,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,2,98,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,6,1,2,99,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,6,1,2,100,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,S,1;3.5
Human,6,1,2,101,Visual,TB,1;1.5;2;2.5;3;3.5,3,S,1;3.5
Human,6,1,2,102,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,2,103,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,6,1,2,104,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,6,1,2,105,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,2,106,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,6,1,2,107,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,2,108,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,6,1,2,109,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,2,110,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,S,1;3.5
Human,6,1,2,111,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,6,1,2,112,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,6,1,2,113,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,6,1,2,114,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,6,1,2,115,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,2,116,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,2,117,Visual,TB,1;1.5;2;2.5;3;3.5,2,L,1;3.5
Human,6,1,2,118,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,6,1,2,119,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,2,120,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,2,121,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,2,122,Visual,TB,1;1.5;2;2.5;3;3.5,2,L,1;3.5
Human,6,1,2,123,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,2,124,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,6,1,2,125,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,6,1,2,126,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,2,127,Visual,TB,1;1.5;2;2.5;3;3.5,3,S,1;3.5
Human,6,1,2,128,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,3,129,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,3,130,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,6,1,3,131,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,3,132,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,6,1,3,133,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,6,1,3,134,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,6,1,3,135,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,3,136,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,3,137,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,3,138,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,3,139,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,6,1,3,140,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,3,141,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,3,142,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,6,1,3,143,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,6,1,3,144,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,6,1,3,145,Visual,TB,1;1.5;2;2.5;3;3.5,1.5,S,1;3.5
Human,6,1,3,146,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,6,1,3,147,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,3,148,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
Human,6,1,3,149,Visual,TB,1;1.5;2;2.5;3;3.5,2,L,1;3.5
Human,6,1,3,150,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,S,1;3.5
Human,6,1,3,151,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,3,152,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,3,153,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,3,154,Visual,TB,1;1.5;2;2.5;3;3.5,3,L,1;3.5
Human,6,1,3,155,Visual,TB,1;1.5;2;2.5;3;3.5,3.5,L,1;3.5
Human,6,1,3,156,Visual,TB,1;1.5;2;2.5;3;3.5,1,S,1;3.5
Human,6,1,3,157,Visual,TB,1;1.5;2;2.5;3;3.5,2,L,1;3.5
Human,6,1,3,158,Visual,TB,1;1.5;2;2.5;3;3.5,2,S,1;3.5
Human,6,1,3,159,Visual,TB,1;1.5;2;2.5;3;3.5,2.5,L,1;3.5
