Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,Accuracy,Range,AgeGroup
Human,79,79,4,61,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,2.911060479,0,Long,5 years
Human,79,79,4,62,Visual,TR,0.9;1;1.1;1.2;1.3,1,0.047611913,0,Long,5 years
Human,79,79,4,63,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,1.452573776,1,Long,5 years
Human,79,79,4,64,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,1.201316221,1,Long,5 years
Human,79,79,4,65,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,0.514860387,0,Long,5 years
Human,79,79,4,66,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,0.916364475,1,Long,5 years
Human,79,79,4,67,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,1.532264815,0,Long,5 years
Human,79,79,4,68,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,1.958583992,0,Long,5 years
Human,79,79,4,69,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,1.836677434,0,Long,5 years
Human,79,79,4,70,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,1.359809858,0,Long,5 years
Human,79,79,1,11,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,0.048827023,0,Short,5 years
Human,79,79,1,12,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,0.092510095,0,Short,5 years
Human,79,79,1,13,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,2.333412548,0,Short,5 years
Human,79,79,1,14,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,0.369343183,0,Short,5 years
Human,79,79,1,15,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,1.032440816,1,Short,5 years
Human,79,79,1,16,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,0.698634001,1,Short,5 years
Human,79,79,1,17,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,0.405545373,0,Short,5 years
Human,79,79,1,18,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,0.059081681,0,Short,5 years
Human,79,79,1,19,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,2.109037636,0,Short,5 years
Human,79,79,1,20,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,1.140454053,0,Short,5 years
Human,79,79,1,21,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,1.278334819,0,Short,5 years
