Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,MCI
Human,2,1,1,21,Auditory,TR,1;1.17;1.4;1.68,1.4,1.38665,0
Human,2,1,1,22,Auditory,TR,1;1.17;1.4;1.68,1.4,1.31831,0
Human,2,1,1,23,Auditory,TR,1;1.17;1.4;1.68,1.4,1.357,0
Human,2,1,1,24,Auditory,TR,1;1.17;1.4;1.68,1.68,1.46825,0
Human,2,1,1,25,Auditory,TR,1;1.17;1.4;1.68,1.17,1.23588,0
Human,2,1,1,26,Auditory,TR,1;1.17;1.4;1.68,1.4,1.44732,0
Human,2,1,1,27,Auditory,TR,1;1.17;1.4;1.68,1.17,1.11882,0
Human,2,1,1,28,Auditory,TR,1;1.17;1.4;1.68,1.68,1.54492,0
Human,2,1,1,29,Auditory,TR,1;1.17;1.4;1.68,1.17,1.26297,0
Human,2,1,1,30,Auditory,TR,1;1.17;1.4;1.68,1.68,1.47432,0
Human,2,2,1,1,Auditory,TR,1;1.17;1.4;1.68,1.17,1.01008,0
Human,2,2,1,2,Auditory,TR,1;1.17;1.4;1.68,1.17,1.24079,0
Human,2,2,1,3,Auditory,TR,1;1.17;1.4;1.68,1.4,1.53132,0
Human,2,2,1,4,Auditory,TR,1;1.17;1.4;1.68,1.68,1.75907,0
Human,2,2,1,5,Auditory,TR,1;1.17;1.4;1.68,1.68,1.70272,0
Human,2,2,1,6,Auditory,TR,1;1.17;1.4;1.68,1.68,1.61028,0
Human,2,2,1,7,Auditory,TR,1;1.17;1.4;1.68,1.17,1.25489,0
Human,2,2,1,8,Auditory,TR,1;1.17;1.4;1.68,1.68,1.56896,0
Human,2,2,1,9,Auditory,TR,1;1.17;1.4;1.68,1.4,1.26783,0
Human,2,2,1,10,Auditory,TR,1;1.17;1.4;1.68,1.4,1.28652,0
Human,2,2,1,11,Auditory,TR,1;1.17;1.4;1.68,1.4,1.38412,0
Human,2,2,1,12,Auditory,TR,1;1.17;1.4;1.68,1.17,1.08369,0
Human,2,2,1,13,Auditory,TR,1;1.17;1.4;1.68,1.17,1.3507,0
Human,2,2,1,14,Auditory,TR,1;1.17;1.4;1.68,1.4,1.52976,0
